Date,3M,6M,1Y,2Y,4Y,7Y,10Y
2011-05-13,0.00129994931419,0.00137972104405,0.00217289837493,0.00541403872884,0.0142547323968,0.0260794418394,0.0339818753416
2011-05-16,0.0013270229654,0.00133785692194,0.00202538989845,0.00514488328306,0.0139146091482,0.0257404725582,0.0336424888208
2011-05-17,0.00120692167064,0.00128790697338,0.00203816434838,0.00511802545738,0.0136978974497,0.0254440393437,0.033342336256
2011-05-18,0.00144632976728,0.00152650927335,0.00231866995666,0.00554876866037,0.0143381256772,0.0260663732125,0.0338906755943
2011-05-19,0.00140097989966,0.00140439904098,0.00209732735879,0.00526419326739,0.0141204765549,0.0259686749829,0.0338630906562
2011-05-20,0.00126662475167,0.00130006106484,0.00201519221896,0.00514800697004,0.0138976145367,0.0257287910056,0.0336809615493
2011-05-23,0.00156810366754,0.00157776305694,0.00222745039936,0.00520512110142,0.0137136636886,0.025430097486,0.0333928648142
2011-05-24,0.00157651718931,0.00161956275064,0.00230947322346,0.0053022850981,0.0137552144422,0.0254056447182,0.0333465945336
2011-05-25,0.00159351222017,0.00157452600755,0.00218221329839,0.0051176099711,0.013623012405,0.0254035174052,0.0334518801234
2011-05-26,0.00188680408243,0.00170858110276,0.00204874680105,0.00461938743797,0.0128421844895,0.0246519989849,0.0327993553246
2011-05-27,0.00183667944633,0.00167407407397,0.00202094042344,0.00456236338989,0.0127504515461,0.0246591919922,0.0329233237809
2011-05-31,0.00201061844384,0.00180376092413,0.00205447176424,0.004419100447,0.0124324216604,0.0243753099284,0.0327002496039
2011-06-01,0.00191125801383,0.00173767009929,0.00199284818835,0.00421715770557,0.0118054630107,0.0233892114555,0.0316911515662
2011-06-02,0.00202805700855,0.00189697456231,0.002221510955,0.0045421817323,0.0122504047184,0.0239881189446,0.0324471997971
2011-06-03,0.00178704338112,0.00167532308776,0.00201047370582,0.00428512738419,0.0118398381815,0.0234850648402,0.032007203601
2011-06-06,0.00185469809696,0.00171655705728,0.00200967144327,0.00423480597938,0.011777911705,0.0234978100828,0.0321142627231
2011-06-07,0.00208956564659,0.00183840202829,0.00197177237147,0.00406191167027,0.0116695040244,0.0235919923019,0.03228375895
2011-06-08,0.0023624923335,0.0020177126844,0.00197731529838,0.00378308010693,0.0110731293017,0.0229341806054,0.031725431183
2011-06-09,0.00214796119941,0.00193664224224,0.00211974960115,0.0042321879339,0.011772269261,0.0236031545132,0.0322472524688
2011-06-10,0.00216984021453,0.00193048127583,0.00206769147355,0.00411736489626,0.0115895106888,0.023355863182,0.0319406276512
2011-06-13,0.00222747090782,0.00195687323457,0.00205669945301,0.0040981835992,0.0116563905204,0.023534905731,0.0321483811606
2011-06-14,0.00194714979031,0.00182939173327,0.00219334756316,0.00462782995553,0.0126122112013,0.0246863036621,0.0333047428164
2011-06-15,0.00242624022289,0.00208095785364,0.00204873930582,0.00389191629365,0.0112678561552,0.0231806178565,0.0319379224056
2011-06-16,0.00235908684246,0.0020552413814,0.00206941966607,0.00390430639074,0.0110899429908,0.0227203279271,0.03135855869
2011-06-17,0.00229532034035,0.00199711213124,0.0020282342824,0.00390866830464,0.0111839056064,0.022889287451,0.0315527207019
2011-06-20,0.00223576157194,0.00194738315471,0.00200075356963,0.00393042775161,0.0112959046989,0.0230750487855,0.0317437906255
2011-06-21,0.00215524259717,0.00188620088475,0.00197546795215,0.00396939336958,0.0114457713085,0.023351907907,0.0320902694144
2011-06-22,0.00218144510244,0.00191064241694,0.00199911978469,0.00400029583099,0.0115115796669,0.0234768090015,0.0322500701431
2011-06-23,0.00226170661745,0.00190852717105,0.00183850649896,0.00356176279104,0.0107112176896,0.0225318969257,0.0313921383084
2011-06-24,0.00250044268483,0.00206707903417,0.00184034477252,0.00328607655033,0.0100918159389,0.0218599003528,0.0309342026881
2011-06-27,0.00232004066637,0.00207741650644,0.00213955704523,0.00389757672731,0.0108108340972,0.0225046012476,0.0316512688498
2011-06-28,0.00212866595589,0.00207689428231,0.0024682287232,0.00470916561768,0.0121001591218,0.0238755080328,0.0328299492909
